"Latitude";"ACCESS1-0";"CMCC-CESM";"CMCC-CM";"CNRM-CM5";"GFDL-ESM2G";"GFDL-ESM2M";"GISS-E2-R";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"NorESM1-M";"NorESM1-ME"
-89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-78;0;0;0;0;0;0;0;0;0;0;-0,00153557964652231;0;-0,000557607081728667;1,05570177344e-05;8,35983509504e-05
-77;-0,0023655100723084;0,0203451199318357;0,00443205393831253;0;0;-0,0016093636943592;0;0,0006953469623884;0,000814455143082667;0,000990038912662533;-0,00646484119114524;-0,00430509728817803;-0,00182495453493113;6,49730344704e-05;0,000493263793925867
-76;-0,0054964716019204;0,0284649948441259;-0,00336386522623787;-0,0138521120416491;-0,00175362827329561;-0,0035985238322937;-0,00105299189641123;-0,000677341073958133;-0,000130627252507467;-0,00195872857112747;-0,0128402544172564;-0,0085894015439996;-0,00363374038876422;-0,00201907815395093;-0,00108463154096827
-75;-0,0103302483381216;0,0187024931401728;-0,0159642077557184;-0,0245813080552733;-0,00351761611606393;-0,0068569924316192;-0,00456195195767502;-0,00393828282382459;-0,00389041188580747;-0,0086651833765952;-0,0206748770080299;-0,0163041803795701;-0,00628268302074453;-0,00433896656084267;-0,00298251681510747
-74;-0,0158424553634603;0,00447244713898667;-0,0403842048043776;-0,0365968945449354;-0,00782952745081313;-0,0117377649487317;-0,0149691022243847;-0,00719595731821677;-0,00856437114858907;-0,0162196356061909;-0,0311287757310229;-0,0271790898669141;-0,0114714595432541;-0,00762830776402027;-0,00557388643289387
-73;-0,0243778406545702;-0,0149507767166699;-0,0661991717844971;-0,0490240958333918;-0,0139794614510431;-0,0174541990600192;-0,0290996276794594;-0,0095028325791892;-0,0132109397020765;-0,0269286082061931;-0,0468284556223727;-0,0392797572742105;-0,0190833130207691;-0,01224806144474;-0,0094601525931424
-72;-0,0381432606705944;-0,0508990139856128;-0,095783068804864;-0,0612724428433109;-0,0224473084137045;-0,0265066958777292;-0,043039510138329;-0,0139145515599861;-0,022385936964859;-0,0410700698006869;-0,0641220414471046;-0,0566241259716089;-0,0286966431091232;-0,0220891956437838;-0,0191943023718607
-71;-0,0483333578775191;-0,088346119806336;-0,125554932930027;-0,0704290423364011;-0,0269442885127859;-0,0362305963304832;-0,0620975109782655;-0,0194532775951592;-0,029434315806848;-0,0514832558730027;-0,0832056684640574;-0,0696633894660487;-0,0367511689870341;-0,0235633780014755;-0,0175972370678731
-70;-0,065817643730524;-0,15502381780608;-0,171523480048606;-0,0816718876864419;-0,0407753661787627;-0,0480750502649691;-0,0810618509552777;-0,037567947107929;-0,0464348507080704;-0,0772490075157163;-0,10633305004162;-0,093655665541522;-0,0448172993778992;-0,036510285637676;-0,0283241233278997
-69;-0,0814779615163771;-0,181754146527778;-0,183478640054852;-0,0931352545831112;-0,0495874290911797;-0,0671051898451984;-0,107832587223996;-0,0455351005909466;-0,0517975356513317;-0,0939691622372693;-0,139376504186129;-0,116812118690649;-0,054630917563344;-0,0489951981095723;-0,0392178039596319
-68;-0,101123530790255;-0,268255378055178;-0,257802943427229;-0,124190904063599;-0,0611652710927278;-0,0879610641693259;-0,140062850328819;-0,0681645741957033;-0,0760320036933165;-0,121227584066636;-0,165124475403383;-0,143022174015991;-0,0685110856943305;-0,0679192235036227;-0,0458127351683776
-67;-0,121168090143453;-0,323124777329854;-0,305022826042065;-0,138685419267624;-0,094168929209392;-0,111449395777591;-0,184189309200966;-0,0796683741788599;-0,084699789068424;-0,132881486088674;-0,194807355242444;-0,165171710833455;-0,0782543701706128;-0,104275694806522;-0,0781246745089568
-66;-0,142413806459062;-0,377469000626688;-0,341169473597747;-0,141268203389431;-0,11977172123991;-0,140717329961208;-0,21648572211079;-0,0745441935867185;-0,0773248443951427;-0,153242497941696;-0,225693502208658;-0,199611648486473;-0,0811767695162005;-0,140374543387151;-0,101910255421585
-65;-0,167341963152631;-0,390738070005845;-0,341451632173807;-0,133462062765412;-0,140336587975558;-0,174824564205597;-0,262527302037044;-0,0777678258204972;-0,0668952947853349;-0,179224371546479;-0,265907429063195;-0,238749094941064;-0,0897130764780053;-0,183541461340971;-0,142423200300905
-64;-0,183373962568428;-0,410615714040508;-0,512727142964565;-0,156193643414467;-0,161460709769509;-0,208501405556992;-0,277220129940618;-0,0676085988089467;-0,0543115691016213;-0,169569879758726;-0,296708219444716;-0,269718255119218;-0,0995738666996608;-0,212343064479044;-0,16790293750828
-63;-0,211375382213007;-0,424930672435827;-0,61101204761629;-0,164854365908595;-0,180914962023981;-0,240851975363351;-0,2845541596353;-0,0726445790569476;-0,0559577273792363;-0,153065301101378;-0,318656482259067;-0,293045525545781;-0,107561695997572;-0,271142085504759;-0,229822966363904
-62;-0,218410173097504;-0,40247278457629;-0,68890792119808;-0,158695733597824;-0,198469797475704;-0,270193288753673;-0,264383791146817;-0,0671577284156497;-0,0411195961154219;-0,12411226799354;-0,325711186498716;-0,301670116851519;-0,107691490709091;-0,33264679852407;-0,284278753416361
-61;-0,221745453546244;-0,368667510017655;-0,782462908406972;-0,136123300681611;-0,215721264523851;-0,288427709003281;-0,265791051950538;-0,0547078503296932;-0,0167583431481933;-0,0919280738841077;-0,32457709190391;-0,306073587744997;-0,0902613445071275;-0,396871881585323;-0,354380468176602
