"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
0,5;-56,0881101439075;-53,041407657754;-54,5037261965872;-53,318751437485;-53,9128548122063;-54,0963061979263;-63,6786223308355;-55,783873602932;-59,8826490443175;-66,1942434995553;-57,9243054131193;-58,284709640627;-66,9773385039166;-65,7950737528436;-54,8690883870805;-58,1100301008013;-67,8558355112594;-68,6192816294759;-58,5293225680838;-58,8412489420929;-58,2448448123936;-57,9628921544122;-53,59313502061;-53,7009293587634;-53,29907493523;-54,7447875826323
1,5;-56,1785680644791;-53,7162945695753;-54,447288441155;-53,3037503537375;-53,933778917594;-54,1529662098232;-63,6304067229582;-55,7994491095798;-59,8826490443175;-66,1942434995553;-57,9243054131193;-58,284709640627;-66,9063529989933;-65,7919953529896;-54,9507215007506;-58,1561623469392;-67,7556943826602;-68,5480442094984;-58,7462899131342;-59,1536518515433;-58,6093607674897;-58,1046091228314;-53,6981131604633;-53,8155235178864;-53,1898338434645;-54,6632040352924
2,5;-56,2870287497421;-53,7162945695753;-54,3981028448583;-53,3037503537375;-53,933778917594;-54,1529662098232;-63,5386573098554;-55,7994491095798;-59,8826490443175;-66,1942434995553;-57,9243054131193;-58,284709640627;-66,8168164279422;-65,6759371548469;-54,9507215007506;-58,1561623469392;-67,7556943826602;-68,6827782608193;-58,7462899131342;-59,1536518515433;-59,3199364167224;-58,2319902598937;-53,8025822865302;-53,9256435232767;-53,1379740943976;-54,6136476750092
3,5;-56,3048248769893;-53,7162945695753;-54,3325588491102;-53,4153584607932;-54,0535303150678;-54,3011389806297;-63,4526075514443;-55,7902455393776;-60,0097276094;-66,7340660871994;-58,1821574436274;-59,1105933661266;-66,7733255639763;-65,6228576368863;-55,0421704041299;-58,2550771767901;-67,6889531687951;-68,5174612797723;-59,2681774616852;-59,7250733536939;-59,4673467812648;-58,2182846928521;-53,8800815822593;-53,9769142061624;-53,1412090849127;-54,5876988998704
4,5;-56,2502997925623;-55,571897613661;-54,2336487918871;-53,4153584607932;-54,0535303150678;-54,3011389806297;-63,3547508623979;-55,7902455393776;-60,0097276094;-66,7340660871994;-58,1821574436274;-59,1105933661266;-66,7833012777469;-65,698635900003;-55,0421704041299;-58,2550771767901;-67,6889531687951;-68,2131597019562;-59,8505075720351;-60,2928437078216;-59,3832024374497;-58,2245043770891;-53,8512472897272;-53,9151788337737;-53,1558452726966;-54,555485715989
5,5;-56,1298133019977;-55,571897613661;-54,1180529681411;-53,611402492334;-54,2955334303615;-54,5427763145538;-63,2433413088841;-55,7685345601527;-60,1440417387506;-67,782688144524;-59,5247220135598;-59,609139893124;-66,7767751349658;-65,8219230964039;-55,1316428570743;-58,4035704357163;-67,6409776729109;-68,457892136748;-59,8505075720351;-60,2928437078216;-60,0674201491951;-58,2810694428551;-53,8041872976075;-53,892231288755;-53,1154040038468;-54,4539607884854
6,5;-55,9646091755503;-55,571897613661;-54,0165452223497;-53,611402492334;-54,2955334303615;-54,5427763145538;-63,2036171885203;-55,7685345601527;-60,1440417387506;-67,782688144524;-59,5247220135598;-59,609139893124;-66,7711854494273;-65,9012944131163;-55,1316428570743;-58,4035704357163;-67,6409776729109;-68,1839288165487;-60,3654082620907;-61,1527186069335;-60,2415766467896;-58,5908685788309;-53,8117085562362;-53,9103371191008;-53,0042276349432;-54,2522489682962
7,5;-55,818494807502;-55,6292844702429;-53,9685384880187;-53,8084890560246;-54,5565348338868;-54,7192571755999;-63,1726557218712;-55,7473929853143;-60,1440417387506;-67,782688144524;-59,5247220135598;-59,609139893124;-66,7284101226003;-65,8427677181863;-55,2247323841466;-58,5547181765079;-67,5936829562899;-68,1907591490418;-60,6542353356846;-61,5714993948053;-60,0776705166178;-59,0844008874092;-53,8654948519512;-53,9662973502031;-52,8960987247116;-54,1180184648627
8,5;-55,7010547214666;-55,6292844702429;-53,9675714006958;-53,8084890560246;-54,5565348338868;-54,7192571755999;-63,1393024085004;-55,7446738669444;-60,3038239810581;-70;-59,7009108711383;-59,6844607874763;-66,7038548536049;-65,7950487749507;-55,2247323841466;-58,5547181765079;-67,5936829562899;-68,4851915450373;-61,0484603471495;-61,7289709916059;-60,2400671986788;-59,1282880431368;-54,0188189633074;-54,1176465954668;-52,8487781906267;-54,0472091476364
9,5;-55,6064040264142;-55,6292844702429;-53,9675714006958;-54,0094237944257;-54,7453583551307;-54,8757800458655;-63,1351561695413;-55,7446738669444;-60,3038239810581;-70;-59,7009108711383;-59,6844607874763;-66,6737083138169;-65,7167614772028;-55,3541235434732;-58,760568865027;-67,5376780256194;-68,1718257187267;-61,0484603471495;-61,7289709916059;-60,3560042595938;-59,1135745309475;-54,1913210288144;-54,2899009188266;-52,8487781906267;-54,0472091476364
10,5;-55,5009514792548;-55,6572495095194;-53,9682164818155;-54,0094237944257;-54,7453583551307;-54,8757800458655;-63,1101960726406;-55,7712174295962;-61,6117719472421;-70,0723242900094;-59,9349957349476;-59,8273132844476;-66,5988076901113;-65,5734059882908;-55,3541235434732;-58,760568865027;-67,5376780256194;-67,8702075303274;-61,4707994859061;-61,8677457626772;-60,4882912110248;-59,179006319765;-54,3269665483017;-54,4441631630973;-52,824965341022;-54,0197820435131
11,5;-55,4078434692999;-55,6572495095194;-53,949598482157;-54,3570472149918;-54,9735728271015;-55,1081320163276;-63,0944094173212;-55,7712174295962;-61,6117719472421;-70,0723242900094;-59,9349957349476;-59,8273132844476;-66,4265330147132;-65,4180040998064;-56,2434140097204;-59,0531444809445;-67,3747802136033;-68,0264873820283;-61,5783602688353;-62,0006251096222;-60,4537511242838;-59,2234556070078;-54,4273253280719;-54,5349492468021;-52,8034012217977;-54,0240823480359
12,5;-55,5499991207619;-55,6572495095194;-53,9147327903049;-54,3570472149918;-54,9735728271015;-55,1081320163276;-63,0805005477962;-55,8179429308495;-61,6117719472421;-70,0723242900094;-59,9349957349476;-59,8273132844476;-66,3076543442073;-65,2043932990484;-56,2434140097204;-59,0531444809445;-67,3747802136033;-67,7957760311566;-61,5783602688353;-62,0006251096222;-60,6879135908745;-59,3257838591871;-54,5675137739014;-54,6228740738328;-52,787790537714;-54,0877829903776
